commande_id,client_id,produit_id,quantite,prix_unitaire,montant_total,date_commande,statut,mode_paiement,region_livraison,source,devise,annee,mois,trimestre,jour_semaine,tranche_montant,est_annulee,ca_perdu,saison,ville,region,segment,date_inscription,nom,categorie,fournisseur,delai_inscription_commande
CMD-Q1-00001,CLI0496,PRD0081,1,49.36,49.36,2024-03-18,annulée,CB,Occitanie,Q1_2024,EUR,2024,3,1,Lundi,<100€,True,49.36,Printemps,Marseille,PACA,Particulier,2021-07-26,,,,966.0
CMD-Q1-00002,CLI0305,PRD0058,5,118.62,593.1,2024-01-23,livrée,CB,Occitanie,Q1_2024,EUR,2024,1,1,Mardi,500-2000€,False,0.0,Hiver,Nantes,Nouvelle-Aquitaine,Startup,2023-03-31,Produit_Aud_58,Audio,TechPro,298.0
CMD-Q1-00003,CLI0044,PRD0128,7,99.94,699.58,2024-01-15,livrée,PayPal,Nouvelle-Aquitaine,Q1_2024,EUR,2024,1,1,Lundi,500-2000€,False,0.0,Hiver,Nantes,PACA,Particulier,2020-07-12,,,,1282.0
CMD-Q1-00004,CLI0381,PRD0061,8,75.83,606.64,2024-01-17,annulée,PayPal,PACA,Q1_2024,EUR,2024,1,1,Mercredi,500-2000€,True,606.64,Hiver,Lyon,Auvergne-RA,Particulier,2023-01-07,Produit_Aud_61,Audio,DataStore,375.0
CMD-Q1-00005,CLI0187,PRD0040,4,71.91,287.64,2024-03-20,en_cours,CB,Occitanie,Q1_2024,EUR,2024,3,1,Mercredi,100-500€,False,0.0,Printemps,Montpellier,Île-de-France,Particulier,2020-10-24,,,,1243.0
CMD-Q1-00006,CLI0450,PRD0045,9,55.24,497.16,2024-01-08,livrée,CB,Auvergne-RA,Q1_2024,EUR,2024,1,1,Lundi,100-500€,False,0.0,Hiver,Nantes,Auvergne-RA,Particulier,2023-06-29,,,,193.0
CMD-Q1-00007,CLI0098,PRD0060,7,436.88,3058.16,2024-02-12,annulée,Virement,Auvergne-RA,Q1_2024,EUR,2024,2,1,Lundi,>2000€,True,3058.16,Hiver,Paris,Occitanie,Particulier,2021-12-10,,,,794.0
CMD-Q1-00008,CLI0112,PRD0006,9,79.23,713.07,2024-03-03,livrée,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Dimanche,500-2000€,False,0.0,Printemps,Lyon,Île-de-France,PME,2022-01-22,Produit_Inf_6,Informatique,ElecPlus,771.0
CMD-Q1-00009,CLI0193,PRD0022,3,235.27,705.81,2024-03-24,livrée,Virement,Occitanie,Q1_2024,EUR,2024,3,1,Dimanche,500-2000€,False,0.0,Printemps,Strasbourg,Occitanie,Grand Compte,2023-12-26,,,,89.0
CMD-Q1-00010,CLI0279,PRD0073,9,200.41,1803.69,2024-03-14,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,3,1,Jeudi,500-2000€,False,0.0,Printemps,Strasbourg,PACA,PME,2020-10-09,Produit_Aud_73,Audio,TechPro,1252.0
CMD-Q1-00011,CLI0094,PRD0058,9,118.62,1067.58,2024-02-10,livrée,CB,Auvergne-RA,Q1_2024,EUR,2024,2,1,Samedi,500-2000€,False,0.0,Hiver,Lyon,Île-de-France,Particulier,2020-03-13,Produit_Aud_58,Audio,TechPro,1429.0
CMD-Q1-00012,CLI0121,PRD0076,2,211.08,422.16,2024-02-11,annulée,CB,Île-de-France,Q1_2024,EUR,2024,2,1,Dimanche,100-500€,True,422.16,Hiver,Montpellier,Nouvelle-Aquitaine,Particulier,2022-03-26,,,,687.0
CMD-Q1-00013,CLI0474,PRD0130,4,186.38,745.52,2024-02-28,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Mercredi,500-2000€,False,0.0,Hiver,Lille,Nouvelle-Aquitaine,Particulier,2020-04-25,Produit_Rés_130,Réseau,DataStore,1404.0
CMD-Q1-00014,CLI0208,PRD0090,5,80.66,403.3,2024-02-05,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Lundi,100-500€,False,0.0,Hiver,Bordeaux,Auvergne-RA,Particulier,2021-07-14,Produit_Acc_90,Accessoires,TechPro,936.0
CMD-Q1-00015,CLI0228,PRD0143,3,104.0,312.0,2024-02-16,livrée,CB,Auvergne-RA,Q1_2024,EUR,2024,2,1,Vendredi,100-500€,False,0.0,Hiver,Paris,Occitanie,Grand Compte,2023-05-08,Produit_Rés_143,Réseau,TechPro,284.0
CMD-Q1-00016,CLI0224,PRD0150,2,81.48,162.96,2024-01-16,livrée,Chèque,Occitanie,Q1_2024,EUR,2024,1,1,Mardi,100-500€,False,0.0,Hiver,Nice,Occitanie,Startup,2021-09-16,Produit_Rés_150,Réseau,MediaShop,852.0
CMD-Q1-00017,CLI0231,PRD0073,4,200.41,801.64,2024-01-19,livrée,Chèque,Île-de-France,Q1_2024,EUR,2024,1,1,Vendredi,500-2000€,False,0.0,Hiver,Marseille,PACA,Particulier,2022-02-11,Produit_Aud_73,Audio,TechPro,707.0
CMD-Q1-00018,CLI0477,PRD0068,6,12.48,74.88,2024-02-13,livrée,PayPal,Auvergne-RA,Q1_2024,EUR,2024,2,1,Mardi,<100€,False,0.0,Hiver,Nice,PACA,Startup,2023-12-08,Produit_Aud_68,Audio,TechPro,67.0
CMD-Q1-00019,CLI0181,PRD0095,3,106.83,320.49,2024-02-01,livrée,CB,Auvergne-RA,Q1_2024,EUR,2024,2,1,Jeudi,100-500€,False,0.0,Hiver,Toulouse,Nouvelle-Aquitaine,Particulier,2020-02-12,Produit_Acc_95,Accessoires,MediaShop,1450.0
CMD-Q1-00020,CLI0395,PRD0129,8,124.46,995.68,2024-03-25,en_cours,CB,Auvergne-RA,Q1_2024,EUR,2024,3,1,Lundi,500-2000€,False,0.0,Printemps,Nantes,Occitanie,Particulier,2020-05-16,,,,1409.0
CMD-Q1-00021,CLI0106,PRD0130,7,186.38,1304.66,2024-01-24,livrée,CB,PACA,Q1_2024,EUR,2024,1,1,Mercredi,500-2000€,False,0.0,Hiver,Bordeaux,Occitanie,Particulier,2021-04-21,Produit_Rés_130,Réseau,DataStore,1008.0
CMD-Q1-00022,CLI0144,PRD0049,2,65.78,131.56,2024-01-02,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,1,1,Mardi,100-500€,False,0.0,Hiver,Nice,Auvergne-RA,Particulier,2022-09-20,Produit_Tél_49,Téléphonie,TechPro,469.0
CMD-Q1-00023,CLI0185,PRD0022,5,235.27,1176.35,2024-03-24,en_cours,CB,Auvergne-RA,Q1_2024,EUR,2024,3,1,Dimanche,500-2000€,False,0.0,Printemps,Nice,Nouvelle-Aquitaine,Particulier,2020-01-02,,,,1543.0
CMD-Q1-00024,CLI0039,PRD0020,9,304.72,2742.48,2024-02-29,en_cours,Virement,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Jeudi,>2000€,False,0.0,Hiver,Bordeaux,Auvergne-RA,Particulier,2023-10-24,Produit_Inf_20,Informatique,TechPro,128.0
CMD-Q1-00025,CLI0359,PRD0125,4,31.95,127.8,2024-01-24,livrée,CB,Occitanie,Q1_2024,EUR,2024,1,1,Mercredi,100-500€,False,0.0,Hiver,Lyon,Nouvelle-Aquitaine,PME,2020-02-22,Produit_Rés_125,Réseau,TechPro,1432.0
CMD-Q1-00026,CLI0206,PRD0022,4,235.27,941.08,2024-03-20,retournée,Virement,Île-de-France,Q1_2024,EUR,2024,3,1,Mercredi,500-2000€,False,0.0,Printemps,Lille,Île-de-France,Particulier,2022-04-14,,,,706.0
CMD-Q1-00027,CLI0104,PRD0149,5,123.18,615.9,2024-03-18,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,3,1,Lundi,500-2000€,False,0.0,Printemps,Lille,Occitanie,Particulier,2020-01-16,,,,1523.0
CMD-Q1-00028,CLI0495,PRD0054,9,124.37,1119.33,2024-02-13,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Mardi,500-2000€,False,0.0,Hiver,Nice,PACA,Startup,2021-12-09,Produit_Tél_54,Téléphonie,TechPro,796.0
CMD-Q1-00029,CLI0438,PRD0110,3,126.57,379.71,2024-03-02,livrée,Chèque,PACA,Q1_2024,EUR,2024,3,1,Samedi,100-500€,False,0.0,Printemps,Lyon,Occitanie,PME,2021-08-17,Produit_Sto_110,Stockage,ElecPlus,928.0
CMD-Q1-00030,CLI0072,PRD0089,5,93.09,465.45,2024-01-01,livrée,CB,PACA,Q1_2024,EUR,2024,1,1,Lundi,100-500€,False,0.0,Hiver,Marseille,PACA,Particulier,2023-09-03,,,,120.0
CMD-Q1-00031,CLI0058,PRD0127,3,63.31,189.93,2024-02-22,livrée,CB,Occitanie,Q1_2024,EUR,2024,2,1,Jeudi,100-500€,False,0.0,Hiver,Paris,Occitanie,PME,2020-08-15,Produit_Rés_127,Réseau,MediaShop,1286.0
CMD-Q1-00032,CLI0276,PRD0109,4,18.3,73.2,2024-03-13,en_cours,CB,PACA,Q1_2024,EUR,2024,3,1,Mercredi,<100€,False,0.0,Printemps,Marseille,Occitanie,Startup,2021-05-18,,,,1030.0
CMD-Q1-00033,CLI0342,PRD0109,5,18.3,91.5,2024-02-12,livrée,CB,Auvergne-RA,Q1_2024,EUR,2024,2,1,Lundi,<100€,False,0.0,Hiver,Marseille,PACA,Particulier,2021-09-11,,,,884.0
CMD-Q1-00034,CLI0207,PRD0012,7,295.77,2070.39,2024-02-24,livrée,Virement,PACA,Q1_2024,EUR,2024,2,1,Samedi,>2000€,False,0.0,Hiver,Nice,Nouvelle-Aquitaine,Particulier,2020-09-18,Produit_Inf_12,Informatique,TechPro,1254.0
CMD-Q1-00035,CLI0232,PRD0099,1,182.41,182.41,2024-03-12,livrée,Virement,PACA,Q1_2024,EUR,2024,3,1,Mardi,100-500€,False,0.0,Printemps,Paris,Île-de-France,Startup,2021-04-07,Produit_Sto_99,Stockage,DataStore,1070.0
CMD-Q1-00036,CLI0309,PRD0046,5,69.9,349.5,2024-03-28,annulée,PayPal,Occitanie,Q1_2024,EUR,2024,3,1,Jeudi,100-500€,True,349.5,Printemps,Montpellier,PACA,Particulier,2022-05-14,Produit_Tél_46,Téléphonie,ElecPlus,684.0
CMD-Q1-00037,CLI0498,PRD0023,6,163.48,980.88,2024-01-28,livrée,CB,Île-de-France,Q1_2024,EUR,2024,1,1,Dimanche,500-2000€,False,0.0,Hiver,Lyon,Nouvelle-Aquitaine,Particulier,2020-06-18,Produit_Inf_23,Informatique,TechPro,1319.0
CMD-Q1-00038,CLI0173,PRD0093,4,62.68,250.72,2024-03-19,livrée,PayPal,Auvergne-RA,Q1_2024,EUR,2024,3,1,Mardi,100-500€,False,0.0,Printemps,Toulouse,Île-de-France,PME,2023-05-28,Produit_Acc_93,Accessoires,ElecPlus,296.0
CMD-Q1-00039,CLI0337,PRD0022,7,235.27,1646.89,2024-03-22,livrée,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Vendredi,500-2000€,False,0.0,Printemps,Strasbourg,Nouvelle-Aquitaine,PME,2023-07-27,,,,239.0
CMD-Q1-00040,CLI0401,PRD0004,2,42.82,85.64,2024-01-04,livrée,CB,Île-de-France,Q1_2024,EUR,2024,1,1,Jeudi,<100€,False,0.0,Hiver,Paris,Auvergne-RA,Startup,2020-06-02,Produit_Inf_4,Informatique,DataStore,1311.0
CMD-Q1-00041,CLI0299,PRD0123,4,71.91,287.64,2024-01-27,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,1,1,Samedi,100-500€,False,0.0,Hiver,Bordeaux,Nouvelle-Aquitaine,Particulier,2023-02-24,Produit_Sto_123,Stockage,ElecPlus,337.0
CMD-Q1-00042,CLI0030,PRD0132,7,66.14,462.98,2024-01-30,livrée,Virement,Nouvelle-Aquitaine,Q1_2024,EUR,2024,1,1,Mardi,100-500€,False,0.0,Hiver,Nice,PACA,Grand Compte,2022-10-25,Produit_Rés_132,Réseau,MediaShop,462.0
CMD-Q1-00043,CLI0237,PRD0090,7,80.66,564.62,2024-01-06,en_cours,CB,PACA,Q1_2024,EUR,2024,1,1,Samedi,500-2000€,False,0.0,Hiver,Paris,Occitanie,PME,2023-05-30,Produit_Acc_90,Accessoires,TechPro,221.0
CMD-Q1-00044,CLI0155,PRD0094,6,167.61,1005.66,2024-02-08,retournée,CB,Occitanie,Q1_2024,EUR,2024,2,1,Jeudi,500-2000€,False,0.0,Hiver,Marseille,PACA,PME,2021-09-28,Produit_Acc_94,Accessoires,ElecPlus,863.0
CMD-Q1-00045,CLI0171,PRD0135,3,112.71,338.13,2024-03-22,livrée,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Vendredi,100-500€,False,0.0,Printemps,Lyon,Auvergne-RA,Particulier,2020-10-29,,,,1240.0
CMD-Q1-00046,CLI0450,PRD0022,8,235.27,1882.16,2024-02-13,annulée,CB,Île-de-France,Q1_2024,EUR,2024,2,1,Mardi,500-2000€,True,1882.16,Hiver,Nantes,Auvergne-RA,Particulier,2023-06-29,,,,229.0
CMD-Q1-00047,CLI0442,PRD0009,1,58.82,58.82,2024-02-14,en_cours,Chèque,Occitanie,Q1_2024,EUR,2024,2,1,Mercredi,<100€,False,0.0,Hiver,Paris,Auvergne-RA,Grand Compte,2020-02-23,Produit_Inf_9,Informatique,ElecPlus,1452.0
CMD-Q1-00048,CLI9966,PRD0083,3,173.76,521.28,2024-01-29,livrée,CB,Occitanie,Q1_2024,EUR,2024,1,1,Lundi,500-2000€,False,0.0,Hiver,,,,,Produit_Acc_83,Accessoires,DataStore,
CMD-Q1-00049,CLI0016,PRD0087,8,72.84,582.72,2024-03-17,retournée,CB,Occitanie,Q1_2024,EUR,2024,3,1,Dimanche,500-2000€,False,0.0,Printemps,Paris,PACA,Particulier,2020-03-03,Produit_Acc_87,Accessoires,ElecPlus,1475.0
CMD-Q1-00050,CLI0491,PRD0010,1,81.94,81.94,2024-03-20,en_cours,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Mercredi,<100€,False,0.0,Printemps,Montpellier,PACA,Particulier,2022-06-11,Produit_Inf_10,Informatique,MediaShop,648.0
CMD-Q1-00051,CLI0495,PRD0134,7,487.38,3411.66,2024-03-09,annulée,CB,Occitanie,Q1_2024,EUR,2024,3,1,Samedi,>2000€,True,3411.66,Printemps,Nice,PACA,Startup,2021-12-09,Produit_Rés_134,Réseau,DataStore,821.0
CMD-Q1-00052,CLI0302,PRD0068,9,12.48,112.32,2024-03-07,retournée,CB,Occitanie,Q1_2024,EUR,2024,3,1,Jeudi,100-500€,False,0.0,Printemps,Montpellier,Occitanie,Particulier,2023-12-18,Produit_Aud_68,Audio,TechPro,80.0
CMD-Q1-00053,CLI0076,PRD0063,2,86.81,173.62,2024-03-17,livrée,CB,PACA,Q1_2024,EUR,2024,3,1,Dimanche,100-500€,False,0.0,Printemps,Lyon,Nouvelle-Aquitaine,Particulier,2020-02-24,Produit_Aud_63,Audio,ElecPlus,1483.0
CMD-Q1-00054,CLI0427,PRD0051,1,10.76,10.76,2024-03-26,livrée,Virement,Auvergne-RA,Q1_2024,EUR,2024,3,1,Mardi,<100€,False,0.0,Printemps,Strasbourg,PACA,Particulier,2022-10-11,Produit_Tél_51,Téléphonie,TechPro,532.0
CMD-Q1-00055,CLI0410,PRD0037,1,48.24,48.24,2024-02-09,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Vendredi,<100€,False,0.0,Hiver,Lille,Nouvelle-Aquitaine,Particulier,2023-10-12,Produit_Tél_37,Téléphonie,TechPro,120.0
CMD-Q1-00056,CLI0282,PRD0085,7,181.81,1272.67,2024-03-25,retournée,CB,PACA,Q1_2024,EUR,2024,3,1,Lundi,500-2000€,False,0.0,Printemps,Lyon,Nouvelle-Aquitaine,Startup,2020-09-03,Produit_Acc_85,Accessoires,DataStore,1299.0
CMD-Q1-00057,CLI0313,PRD0149,1,123.18,123.18,2024-01-23,livrée,CB,PACA,Q1_2024,EUR,2024,1,1,Mardi,100-500€,False,0.0,Hiver,Montpellier,Occitanie,Particulier,2023-07-15,,,,192.0
CMD-Q1-00058,CLI0313,PRD0109,5,18.3,91.5,2024-01-31,livrée,CB,Occitanie,Q1_2024,EUR,2024,1,1,Mercredi,<100€,False,0.0,Hiver,Montpellier,Occitanie,Particulier,2023-07-15,,,,200.0
CMD-Q1-00059,CLI0498,PRD0058,9,118.62,1067.58,2024-02-10,livrée,CB,Occitanie,Q1_2024,EUR,2024,2,1,Samedi,500-2000€,False,0.0,Hiver,Lyon,Nouvelle-Aquitaine,Particulier,2020-06-18,Produit_Aud_58,Audio,TechPro,1332.0
CMD-Q1-00060,CLI0381,PRD0116,1,52.36,52.36,2024-03-28,livrée,Chèque,Nouvelle-Aquitaine,Q1_2024,EUR,2024,3,1,Jeudi,<100€,False,0.0,Printemps,Lyon,Auvergne-RA,Particulier,2023-01-07,Produit_Sto_116,Stockage,DataStore,446.0
CMD-Q1-00061,CLI0016,PRD0025,7,111.14,777.98,2024-02-23,annulée,CB,PACA,Q1_2024,EUR,2024,2,1,Vendredi,500-2000€,True,777.98,Hiver,Paris,PACA,Particulier,2020-03-03,Produit_Inf_25,Informatique,MediaShop,1452.0
CMD-Q1-00062,CLI0070,PRD0122,5,108.11,540.55,2024-02-17,livrée,Virement,Auvergne-RA,Q1_2024,EUR,2024,2,1,Samedi,500-2000€,False,0.0,Hiver,Toulouse,Île-de-France,PME,2023-01-12,Produit_Sto_122,Stockage,ElecPlus,401.0
CMD-Q1-00063,CLI0109,PRD0009,8,58.82,470.56,2024-01-09,livrée,CB,PACA,Q1_2024,EUR,2024,1,1,Mardi,100-500€,False,0.0,Hiver,Lyon,Occitanie,Grand Compte,2021-12-05,Produit_Inf_9,Informatique,ElecPlus,765.0
CMD-Q1-00064,CLI0330,PRD0109,4,18.3,73.2,2024-03-01,inconnu,Chèque,Île-de-France,Q1_2024,EUR,2024,3,1,Vendredi,<100€,False,0.0,Printemps,Montpellier,PACA,Particulier,2021-07-10,,,,965.0
CMD-Q1-00065,CLI0073,PRD0074,5,101.69,508.45,2024-02-21,livrée,Virement,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Mercredi,500-2000€,False,0.0,Hiver,Paris,Occitanie,PME,2023-03-13,,,,345.0
CMD-Q1-00066,CLI0287,PRD0089,7,93.09,651.63,2024-02-19,livrée,CB,Occitanie,Q1_2024,EUR,2024,2,1,Lundi,500-2000€,False,0.0,Hiver,Marseille,Nouvelle-Aquitaine,Startup,2020-11-02,,,,1204.0
CMD-Q1-00067,CLI0374,PRD0075,2,71.64,143.28,2024-03-24,en_cours,CB,PACA,Q1_2024,EUR,2024,3,1,Dimanche,100-500€,False,0.0,Printemps,Toulouse,Auvergne-RA,Grand Compte,2022-05-17,,,,677.0
CMD-Q1-00068,CLI0183,PRD0035,7,17.54,122.78,2024-01-14,livrée,PayPal,PACA,Q1_2024,EUR,2024,1,1,Dimanche,100-500€,False,0.0,Hiver,Bordeaux,PACA,PME,2020-11-19,Produit_Tél_35,Téléphonie,MediaShop,1151.0
CMD-Q1-00069,CLI0273,PRD0042,3,126.36,379.08,2024-03-03,annulée,Chèque,Auvergne-RA,Q1_2024,EUR,2024,3,1,Dimanche,100-500€,True,379.08,Printemps,Nantes,Occitanie,Particulier,2021-09-19,,,,896.0
CMD-Q1-00070,CLI0331,PRD0152,1,499.98,499.98,2024-01-26,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,1,1,Vendredi,100-500€,False,0.0,Hiver,Nantes,PACA,PME,2023-06-11,Produit_Rés_152,Réseau,ElecPlus,229.0
CMD-Q1-00071,CLI0112,PRD0020,8,304.72,2437.76,2024-03-26,annulée,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Mardi,>2000€,True,2437.76,Printemps,Lyon,Île-de-France,PME,2022-01-22,Produit_Inf_20,Informatique,TechPro,794.0
