commande_id,client_id,produit_id,quantite,prix_unitaire,montant_total,date_commande,statut,mode_paiement,region_livraison,source,devise,annee,mois,trimestre,jour_semaine,ville,region,segment,date_inscription,nom,categorie,fournisseur,tranche_montant,saison,est_annulee,ca_perdu,delai_inscription_commande
CMD-Q1-00001,CLI0496,PRD0081,1,49.36,49.36,2024-03-18,annulée,CB,Occitanie,Q1_2024,EUR,2024,3,1,Lundi,Marseille,PACA,Particulier,2021-07-26,,,,<100€,Hiver,True,49.36,966.00
CMD-Q1-00002,CLI0305,PRD0058,5,118.62,593.10,2024-01-23,livrée,CB,Occitanie,Q1_2024,EUR,2024,1,1,Mardi,Nantes,Nouvelle-Aquitaine,Startup,2023-03-31,Produit_Aud_58,Audio,TechPro,500-2000€,Hiver,False,0.00,298.00
CMD-Q1-00003,CLI0044,PRD0128,7,99.94,699.58,2024-01-15,livrée,PayPal,Nouvelle-Aquitaine,Q1_2024,EUR,2024,1,1,Lundi,Nantes,PACA,Particulier,2020-07-12,,,,500-2000€,Hiver,False,0.00,1282.00
CMD-Q1-00004,CLI0381,PRD0061,8,75.83,606.64,2024-01-17,annulée,PayPal,PACA,Q1_2024,EUR,2024,1,1,Mercredi,Lyon,Auvergne-RA,Particulier,2023-01-07,Produit_Aud_61,Audio,DataStore,500-2000€,Hiver,True,606.64,375.00
CMD-Q1-00005,CLI0187,PRD0040,4,71.91,287.64,2024-03-20,en_cours,CB,Occitanie,Q1_2024,EUR,2024,3,1,Mercredi,Montpellier,Île-de-France,Particulier,2020-10-24,,,,100-500€,Hiver,False,0.00,1243.00
CMD-Q1-00006,CLI0450,PRD0045,9,55.24,497.16,2024-01-08,livrée,CB,Auvergne-RA,Q1_2024,EUR,2024,1,1,Lundi,Nantes,Auvergne-RA,Particulier,2023-06-29,,,,100-500€,Hiver,False,0.00,193.00
CMD-Q1-00007,CLI0098,PRD0060,7,436.88,3058.16,2024-02-12,annulée,Virement,Auvergne-RA,Q1_2024,EUR,2024,2,1,Lundi,Paris,Occitanie,Particulier,2021-12-10,,,,>2000€,Hiver,True,3058.16,794.00
CMD-Q1-00008,CLI0112,PRD0006,9,79.23,713.07,2024-03-03,livrée,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Dimanche,Lyon,Île-de-France,PME,2022-01-22,Produit_Inf_6,Informatique,ElecPlus,500-2000€,Hiver,False,0.00,771.00
CMD-Q1-00009,CLI0193,PRD0022,3,235.27,705.81,2024-03-24,livrée,Virement,Occitanie,Q1_2024,EUR,2024,3,1,Dimanche,Strasbourg,Occitanie,Grand Compte,2023-12-26,,,,500-2000€,Hiver,False,0.00,89.00
CMD-Q1-00010,CLI0279,PRD0073,9,200.41,1803.69,2024-03-14,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,3,1,Jeudi,Strasbourg,PACA,PME,2020-10-09,Produit_Aud_73,Audio,TechPro,500-2000€,Hiver,False,0.00,1252.00
CMD-Q1-00011,CLI0094,PRD0058,9,118.62,1067.58,2024-02-10,livrée,CB,Auvergne-RA,Q1_2024,EUR,2024,2,1,Samedi,Lyon,Île-de-France,Particulier,2020-03-13,Produit_Aud_58,Audio,TechPro,500-2000€,Hiver,False,0.00,1429.00
CMD-Q1-00012,CLI0121,PRD0076,2,211.08,422.16,2024-02-11,annulée,CB,Île-de-France,Q1_2024,EUR,2024,2,1,Dimanche,Montpellier,Nouvelle-Aquitaine,Particulier,2022-03-26,,,,100-500€,Hiver,True,422.16,687.00
CMD-Q1-00013,CLI0474,PRD0130,4,186.38,745.52,2024-02-28,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Mercredi,Lille,Nouvelle-Aquitaine,Particulier,2020-04-25,Produit_Rés_130,Réseau,DataStore,500-2000€,Hiver,False,0.00,1404.00
CMD-Q1-00014,CLI0208,PRD0090,5,80.66,403.30,2024-02-05,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Lundi,Bordeaux,Auvergne-RA,Particulier,2021-07-14,Produit_Acc_90,Accessoires,TechPro,100-500€,Hiver,False,0.00,936.00
CMD-Q1-00015,CLI0228,PRD0143,3,104.00,312.00,2024-02-16,livrée,CB,Auvergne-RA,Q1_2024,EUR,2024,2,1,Vendredi,Paris,Occitanie,Grand Compte,2023-05-08,Produit_Rés_143,Réseau,TechPro,100-500€,Hiver,False,0.00,284.00
CMD-Q1-00016,CLI0224,PRD0150,2,81.48,162.96,2024-01-16,livrée,Chèque,Occitanie,Q1_2024,EUR,2024,1,1,Mardi,Nice,Occitanie,Startup,2021-09-16,Produit_Rés_150,Réseau,MediaShop,100-500€,Hiver,False,0.00,852.00
CMD-Q1-00017,CLI0231,PRD0073,4,200.41,801.64,2024-01-19,livrée,Chèque,Île-de-France,Q1_2024,EUR,2024,1,1,Vendredi,Marseille,PACA,Particulier,2022-02-11,Produit_Aud_73,Audio,TechPro,500-2000€,Hiver,False,0.00,707.00
CMD-Q1-00018,CLI0477,PRD0068,6,12.48,74.88,2024-02-13,livrée,PayPal,Auvergne-RA,Q1_2024,EUR,2024,2,1,Mardi,Nice,PACA,Startup,2023-12-08,Produit_Aud_68,Audio,TechPro,<100€,Hiver,False,0.00,67.00
CMD-Q1-00019,CLI0181,PRD0095,3,106.83,320.49,2024-02-01,livrée,CB,Auvergne-RA,Q1_2024,EUR,2024,2,1,Jeudi,Toulouse,Nouvelle-Aquitaine,Particulier,2020-02-12,Produit_Acc_95,Accessoires,MediaShop,100-500€,Hiver,False,0.00,1450.00
CMD-Q1-00020,CLI0395,PRD0129,8,124.46,995.68,2024-03-25,en_cours,CB,Auvergne-RA,Q1_2024,EUR,2024,3,1,Lundi,Nantes,Occitanie,Particulier,2020-05-16,,,,500-2000€,Hiver,False,0.00,1409.00
CMD-Q1-00021,CLI0106,PRD0130,7,186.38,1304.66,2024-01-24,livrée,CB,PACA,Q1_2024,EUR,2024,1,1,Mercredi,Bordeaux,Occitanie,Particulier,2021-04-21,Produit_Rés_130,Réseau,DataStore,500-2000€,Hiver,False,0.00,1008.00
CMD-Q1-00022,CLI0144,PRD0049,2,65.78,131.56,2024-01-02,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,1,1,Mardi,Nice,Auvergne-RA,Particulier,2022-09-20,Produit_Tél_49,Téléphonie,TechPro,100-500€,Hiver,False,0.00,469.00
CMD-Q1-00023,CLI0185,PRD0022,5,235.27,1176.35,2024-03-24,en_cours,CB,Auvergne-RA,Q1_2024,EUR,2024,3,1,Dimanche,Nice,Nouvelle-Aquitaine,Particulier,2020-01-02,,,,500-2000€,Hiver,False,0.00,1543.00
CMD-Q1-00024,CLI0039,PRD0020,9,304.72,2742.48,2024-02-29,en_cours,Virement,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Jeudi,Bordeaux,Auvergne-RA,Particulier,2023-10-24,Produit_Inf_20,Informatique,TechPro,>2000€,Hiver,False,0.00,128.00
CMD-Q1-00025,CLI0359,PRD0125,4,31.95,127.80,2024-01-24,livrée,CB,Occitanie,Q1_2024,EUR,2024,1,1,Mercredi,Lyon,Nouvelle-Aquitaine,PME,2020-02-22,Produit_Rés_125,Réseau,TechPro,100-500€,Hiver,False,0.00,1432.00
CMD-Q1-00026,CLI0206,PRD0022,4,235.27,941.08,2024-03-20,retournée,Virement,Île-de-France,Q1_2024,EUR,2024,3,1,Mercredi,Lille,Île-de-France,Particulier,2022-04-14,,,,500-2000€,Hiver,False,0.00,706.00
CMD-Q1-00027,CLI0104,PRD0149,5,123.18,615.90,2024-03-18,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,3,1,Lundi,Lille,Occitanie,Particulier,2020-01-16,,,,500-2000€,Hiver,False,0.00,1523.00
CMD-Q1-00028,CLI0495,PRD0054,9,124.37,1119.33,2024-02-13,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Mardi,Nice,PACA,Startup,2021-12-09,Produit_Tél_54,Téléphonie,TechPro,500-2000€,Hiver,False,0.00,796.00
CMD-Q1-00029,CLI0438,PRD0110,3,126.57,379.71,2024-03-02,livrée,Chèque,PACA,Q1_2024,EUR,2024,3,1,Samedi,Lyon,Occitanie,PME,2021-08-17,Produit_Sto_110,Stockage,ElecPlus,100-500€,Hiver,False,0.00,928.00
CMD-Q1-00030,CLI0072,PRD0089,5,93.09,465.45,2024-01-01,livrée,CB,PACA,Q1_2024,EUR,2024,1,1,Lundi,Marseille,PACA,Particulier,2023-09-03,,,,100-500€,Hiver,False,0.00,120.00
CMD-Q1-00031,CLI0058,PRD0127,3,63.31,189.93,2024-02-22,livrée,CB,Occitanie,Q1_2024,EUR,2024,2,1,Jeudi,Paris,Occitanie,PME,2020-08-15,Produit_Rés_127,Réseau,MediaShop,100-500€,Hiver,False,0.00,1286.00
CMD-Q1-00032,CLI0276,PRD0109,4,18.30,73.20,2024-03-13,en_cours,CB,PACA,Q1_2024,EUR,2024,3,1,Mercredi,Marseille,Occitanie,Startup,2021-05-18,,,,<100€,Hiver,False,0.00,1030.00
CMD-Q1-00033,CLI0342,PRD0109,5,18.30,91.50,2024-02-12,livrée,CB,Auvergne-RA,Q1_2024,EUR,2024,2,1,Lundi,Marseille,PACA,Particulier,2021-09-11,,,,<100€,Hiver,False,0.00,884.00
CMD-Q1-00034,CLI0207,PRD0012,7,295.77,2070.39,2024-02-24,livrée,Virement,PACA,Q1_2024,EUR,2024,2,1,Samedi,Nice,Nouvelle-Aquitaine,Particulier,2020-09-18,Produit_Inf_12,Informatique,TechPro,>2000€,Hiver,False,0.00,1254.00
CMD-Q1-00035,CLI0232,PRD0099,1,182.41,182.41,2024-03-12,livrée,Virement,PACA,Q1_2024,EUR,2024,3,1,Mardi,Paris,Île-de-France,Startup,2021-04-07,Produit_Sto_99,Stockage,DataStore,100-500€,Hiver,False,0.00,1070.00
CMD-Q1-00036,CLI0309,PRD0046,5,69.90,349.50,2024-03-28,annulée,PayPal,Occitanie,Q1_2024,EUR,2024,3,1,Jeudi,Montpellier,PACA,Particulier,2022-05-14,Produit_Tél_46,Téléphonie,ElecPlus,100-500€,Hiver,True,349.50,684.00
CMD-Q1-00037,CLI0498,PRD0023,6,163.48,980.88,2024-01-28,livrée,CB,Île-de-France,Q1_2024,EUR,2024,1,1,Dimanche,Lyon,Nouvelle-Aquitaine,Particulier,2020-06-18,Produit_Inf_23,Informatique,TechPro,500-2000€,Hiver,False,0.00,1319.00
CMD-Q1-00038,CLI0173,PRD0093,4,62.68,250.72,2024-03-19,livrée,PayPal,Auvergne-RA,Q1_2024,EUR,2024,3,1,Mardi,Toulouse,Île-de-France,PME,2023-05-28,Produit_Acc_93,Accessoires,ElecPlus,100-500€,Hiver,False,0.00,296.00
CMD-Q1-00039,CLI0337,PRD0022,7,235.27,1646.89,2024-03-22,livrée,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Vendredi,Strasbourg,Nouvelle-Aquitaine,PME,2023-07-27,,,,500-2000€,Hiver,False,0.00,239.00
CMD-Q1-00040,CLI0401,PRD0004,2,42.82,85.64,2024-01-04,livrée,CB,Île-de-France,Q1_2024,EUR,2024,1,1,Jeudi,Paris,Auvergne-RA,Startup,2020-06-02,Produit_Inf_4,Informatique,DataStore,<100€,Hiver,False,0.00,1311.00
CMD-Q1-00041,CLI0299,PRD0123,4,71.91,287.64,2024-01-27,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,1,1,Samedi,Bordeaux,Nouvelle-Aquitaine,Particulier,2023-02-24,Produit_Sto_123,Stockage,ElecPlus,100-500€,Hiver,False,0.00,337.00
CMD-Q1-00042,CLI0030,PRD0132,7,66.14,462.98,2024-01-30,livrée,Virement,Nouvelle-Aquitaine,Q1_2024,EUR,2024,1,1,Mardi,Nice,PACA,Grand Compte,2022-10-25,Produit_Rés_132,Réseau,MediaShop,100-500€,Hiver,False,0.00,462.00
CMD-Q1-00043,CLI0237,PRD0090,7,80.66,564.62,2024-01-06,en_cours,CB,PACA,Q1_2024,EUR,2024,1,1,Samedi,Paris,Occitanie,PME,2023-05-30,Produit_Acc_90,Accessoires,TechPro,500-2000€,Hiver,False,0.00,221.00
CMD-Q1-00044,CLI0155,PRD0094,6,167.61,1005.66,2024-02-08,retournée,CB,Occitanie,Q1_2024,EUR,2024,2,1,Jeudi,Marseille,PACA,PME,2021-09-28,Produit_Acc_94,Accessoires,ElecPlus,500-2000€,Hiver,False,0.00,863.00
CMD-Q1-00045,CLI0171,PRD0135,3,112.71,338.13,2024-03-22,livrée,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Vendredi,Lyon,Auvergne-RA,Particulier,2020-10-29,,,,100-500€,Hiver,False,0.00,1240.00
CMD-Q1-00046,CLI0450,PRD0022,8,235.27,1882.16,2024-02-13,annulée,CB,Île-de-France,Q1_2024,EUR,2024,2,1,Mardi,Nantes,Auvergne-RA,Particulier,2023-06-29,,,,500-2000€,Hiver,True,1882.16,229.00
CMD-Q1-00047,CLI0442,PRD0009,1,58.82,58.82,2024-02-14,en_cours,Chèque,Occitanie,Q1_2024,EUR,2024,2,1,Mercredi,Paris,Auvergne-RA,Grand Compte,2020-02-23,Produit_Inf_9,Informatique,ElecPlus,<100€,Hiver,False,0.00,1452.00
CMD-Q1-00048,CLI9966,PRD0083,3,173.76,521.28,2024-01-29,livrée,CB,Occitanie,Q1_2024,EUR,2024,1,1,Lundi,,,,,Produit_Acc_83,Accessoires,DataStore,500-2000€,Hiver,False,0.00,
CMD-Q1-00049,CLI0016,PRD0087,8,72.84,582.72,2024-03-17,retournée,CB,Occitanie,Q1_2024,EUR,2024,3,1,Dimanche,Paris,PACA,Particulier,2020-03-03,Produit_Acc_87,Accessoires,ElecPlus,500-2000€,Hiver,False,0.00,1475.00
CMD-Q1-00050,CLI0491,PRD0010,1,81.94,81.94,2024-03-20,en_cours,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Mercredi,Montpellier,PACA,Particulier,2022-06-11,Produit_Inf_10,Informatique,MediaShop,<100€,Hiver,False,0.00,648.00
CMD-Q1-00051,CLI0495,PRD0134,7,487.38,3411.66,2024-03-09,annulée,CB,Occitanie,Q1_2024,EUR,2024,3,1,Samedi,Nice,PACA,Startup,2021-12-09,Produit_Rés_134,Réseau,DataStore,>2000€,Hiver,True,3411.66,821.00
CMD-Q1-00052,CLI0302,PRD0068,9,12.48,112.32,2024-03-07,retournée,CB,Occitanie,Q1_2024,EUR,2024,3,1,Jeudi,Montpellier,Occitanie,Particulier,2023-12-18,Produit_Aud_68,Audio,TechPro,100-500€,Hiver,False,0.00,80.00
CMD-Q1-00053,CLI0076,PRD0063,2,86.81,173.62,2024-03-17,livrée,CB,PACA,Q1_2024,EUR,2024,3,1,Dimanche,Lyon,Nouvelle-Aquitaine,Particulier,2020-02-24,Produit_Aud_63,Audio,ElecPlus,100-500€,Hiver,False,0.00,1483.00
CMD-Q1-00054,CLI0427,PRD0051,1,10.76,10.76,2024-03-26,livrée,Virement,Auvergne-RA,Q1_2024,EUR,2024,3,1,Mardi,Strasbourg,PACA,Particulier,2022-10-11,Produit_Tél_51,Téléphonie,TechPro,<100€,Hiver,False,0.00,532.00
CMD-Q1-00055,CLI0410,PRD0037,1,48.24,48.24,2024-02-09,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Vendredi,Lille,Nouvelle-Aquitaine,Particulier,2023-10-12,Produit_Tél_37,Téléphonie,TechPro,<100€,Hiver,False,0.00,120.00
CMD-Q1-00056,CLI0282,PRD0085,7,181.81,1272.67,2024-03-25,retournée,CB,PACA,Q1_2024,EUR,2024,3,1,Lundi,Lyon,Nouvelle-Aquitaine,Startup,2020-09-03,Produit_Acc_85,Accessoires,DataStore,500-2000€,Hiver,False,0.00,1299.00
CMD-Q1-00057,CLI0313,PRD0149,1,123.18,123.18,2024-01-23,livrée,CB,PACA,Q1_2024,EUR,2024,1,1,Mardi,Montpellier,Occitanie,Particulier,2023-07-15,,,,100-500€,Hiver,False,0.00,192.00
CMD-Q1-00058,CLI0313,PRD0109,5,18.30,91.50,2024-01-31,livrée,CB,Occitanie,Q1_2024,EUR,2024,1,1,Mercredi,Montpellier,Occitanie,Particulier,2023-07-15,,,,<100€,Hiver,False,0.00,200.00
CMD-Q1-00059,CLI0498,PRD0058,9,118.62,1067.58,2024-02-10,livrée,CB,Occitanie,Q1_2024,EUR,2024,2,1,Samedi,Lyon,Nouvelle-Aquitaine,Particulier,2020-06-18,Produit_Aud_58,Audio,TechPro,500-2000€,Hiver,False,0.00,1332.00
CMD-Q1-00060,CLI0381,PRD0116,1,52.36,52.36,2024-03-28,livrée,Chèque,Nouvelle-Aquitaine,Q1_2024,EUR,2024,3,1,Jeudi,Lyon,Auvergne-RA,Particulier,2023-01-07,Produit_Sto_116,Stockage,DataStore,<100€,Hiver,False,0.00,446.00
